yyyy,Index,D12,E12,b/m,tbl,AAA,BAA,lty,cay,ntis,Rfree,infl,eqis,ltr,corpr,svar,csp,ik,CRSP_SPvw,CRSP_SPvwx
1871,4.74,0.260,0.400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0573367214,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1872,5.07,0.300,0.430,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0718986643,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1873,4.42,0.330,0.460,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0866190391,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1874,4.54,0.330,0.460,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0485442295,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1875,4.37,0.300,0.360,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0438092722,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1876,3.58,0.300,0.280,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0410663305,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1877,3.25,0.190,0.300,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0414619926,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1878,3.45,0.180,0.310,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0381467816,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1879,4.92,0.200,0.380,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0404115021,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1880,5.84,0.260,0.490,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0418766971,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1881,6.01,0.320,0.440,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0416246295,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1882,5.84,0.320,0.430,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0455519989,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1883,5.34,0.330,0.400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0453985986,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1884,4.34,0.310,0.310,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0416707655,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1885,5.20,0.240,0.270,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0315919296,NaN,NaN,NaN,NaN,0.0237389033,NaN,NaN,NaN,NaN
1886,5.64,0.220,0.330,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0377705723,NaN,NaN,NaN,NaN,0.0164586021,NaN,NaN,NaN,NaN
1887,5.27,0.250,0.360,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0464932213,NaN,NaN,NaN,NaN,0.0182984598,NaN,NaN,NaN,NaN
1888,5.14,0.230,0.260,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0388906337,NaN,NaN,NaN,NaN,0.0128506019,NaN,NaN,NaN,NaN
1889,5.32,0.220,0.300,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0386686153,NaN,NaN,NaN,NaN,0.0068740375,NaN,NaN,NaN,NaN
1890,4.60,0.220,0.290,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0453386449,NaN,NaN,NaN,NaN,0.0226210589,NaN,NaN,NaN,NaN
1891,5.41,0.220,0.340,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0432960454,NaN,NaN,NaN,NaN,0.0161235317,NaN,NaN,NaN,NaN
1892,5.51,0.240,0.370,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0320466985,NaN,NaN,NaN,NaN,0.0108861598,NaN,NaN,NaN,NaN
1893,4.41,0.250,0.260,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0556631852,NaN,NaN,NaN,NaN,0.0545843904,NaN,NaN,NaN,NaN
1894,4.30,0.210,0.160,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0226099058,NaN,NaN,NaN,NaN,0.0167387383,NaN,NaN,NaN,NaN
1895,4.32,0.190,0.250,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0281754639,NaN,NaN,NaN,NaN,0.0286897057,NaN,NaN,NaN,NaN
1896,4.22,0.180,0.210,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0469870619,NaN,NaN,NaN,NaN,0.0464332345,NaN,NaN,NaN,NaN
1897,4.75,0.180,0.310,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0266599680,NaN,NaN,NaN,NaN,0.0227515174,NaN,NaN,NaN,NaN
1898,5.65,0.200,0.350,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0294411854,NaN,NaN,NaN,NaN,0.0324244079,NaN,NaN,NaN,NaN
1899,6.02,0.210,0.480,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0324138819,NaN,NaN,NaN,NaN,0.0270965419,NaN,NaN,NaN,NaN
1900,6.87,0.300,0.480,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0344398197,NaN,NaN,NaN,NaN,0.0171601144,NaN,NaN,NaN,NaN
