yyyy,Index,D12,E12,bm,tbl,AAA,BAA,lty,cay,ntis,Rfree,infl,eqis,ltr,corpr,svar,csp,ik,CRSP_SPvw,CRSP_SPvwx
1871,4.74,0.26,0.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.057336721,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1872,5.07,0.3,0.43,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.071898664,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1872,4.42,0.33,0.46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.086619039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1874,4.54,0.33,0.46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.04854423,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1875,4.37,0.3,0.36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.043809272,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1875,3.58,0.3,0.28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.041066331,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1877,3.25,0.19,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.041461993,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1878,3.45,0.18,0.31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.038146782,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1879,4.92,0.2,0.38,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.040411502,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1880,5.84,0.26,0.49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.041876697,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1881,6.01,0.32,0.44,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.04162463,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1882,5.84,0.32,0.43,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.045551999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1883,5.34,0.33,0.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.045398599,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1884,4.34,0.31,0.31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.041670766,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1885,5.2,0.24,0.27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.03159193,NaN,NaN,NaN,NaN,0.023738903,NaN,NaN,NaN,NaN
1886,5.64,0.22,0.33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.037770572,NaN,NaN,NaN,NaN,0.016458602,NaN,NaN,NaN,NaN
1887,5.27,0.25,0.36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.046493221,NaN,NaN,NaN,NaN,0.01829846,NaN,NaN,NaN,NaN
1888,5.14,0.23,0.26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.038890634,NaN,NaN,NaN,NaN,0.012850602,NaN,NaN,NaN,NaN
1889,5.32,0.22,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.038668615,NaN,NaN,NaN,NaN,0.006874038,NaN,NaN,NaN,NaN
1890,4.6,0.22,0.29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.045338645,NaN,NaN,NaN,NaN,0.022621059,NaN,NaN,NaN,NaN
1891,5.41,0.22,0.34,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.043296045,NaN,NaN,NaN,NaN,0.016123532,NaN,NaN,NaN,NaN
1892,5.51,0.24,0.37,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.032046699,NaN,NaN,NaN,NaN,0.01088616,NaN,NaN,NaN,NaN
1893,4.41,0.25,0.26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.055663185,NaN,NaN,NaN,NaN,0.05458439,NaN,NaN,NaN,NaN
1894,4.3,0.21,0.16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.022609906,NaN,NaN,NaN,NaN,0.016738738,NaN,NaN,NaN,NaN
1895,4.32,0.19,0.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.028175464,NaN,NaN,NaN,NaN,0.028689706,NaN,NaN,NaN,NaN
1896,4.22,0.18,0.21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.046987062,NaN,NaN,NaN,NaN,0.046433235,NaN,NaN,NaN,NaN
1897,4.75,0.18,0.31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.026659968,NaN,NaN,NaN,NaN,0.022751517,NaN,NaN,NaN,NaN
1898,5.65,0.2,0.35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.029441185,NaN,NaN,NaN,NaN,0.032424408,NaN,NaN,NaN,NaN
1899,6.02,0.21,0.48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.032413882,NaN,NaN,NaN,NaN,0.027096542,NaN,NaN,NaN,NaN
1900,6.87,0.3,0.48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.03443982,NaN,NaN,NaN,NaN,0.017160114,NaN,NaN,NaN,NaN
1901,7.95,0.32,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.033556814,NaN,NaN,NaN,NaN,0.037292987,NaN,NaN,NaN,NaN
1902,8.05,0.33,0.63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.039184045,NaN,NaN,NaN,NaN,0.013393028,NaN,NaN,NaN,NaN
1903,6.57,0.35,0.53,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.044045717,NaN,NaN,NaN,NaN,0.024745582,NaN,NaN,NaN,NaN
1904,8.25,0.31,0.49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.032865119,NaN,NaN,NaN,NaN,0.01266884,NaN,NaN,NaN,NaN
1905,9.54,0.33,0.67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.034593488,NaN,NaN,NaN,NaN,0.015637005,NaN,NaN,NaN,NaN
1906,9.84,0.4,0.76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.045876027,NaN,NaN,NaN,NaN,0.017091924,NaN,NaN,NaN,NaN
1907,6.57,0.44,0.66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.051725342,NaN,NaN,NaN,NaN,0.047979057,NaN,NaN,NaN,NaN
1908,9.03,0.4,0.58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.034342348,NaN,NaN,NaN,NaN,0.020052109,NaN,NaN,NaN,NaN
1909,10.3,0.44,0.76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.030854992,NaN,NaN,NaN,NaN,0.010034856,NaN,NaN,NaN,NaN
1910,9.05,0.47,0.73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.040008713,NaN,NaN,NaN,NaN,0.018907775,NaN,NaN,NaN,NaN
1911,9.11,0.47,0.59,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.031290389,NaN,NaN,NaN,NaN,0.007783574,NaN,NaN,NaN,NaN
1912,9.38,0.48,0.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.037601873,NaN,NaN,NaN,NaN,0.006454296,NaN,NaN,NaN,NaN
1913,8.04,0.48,0.63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.045016343,0.020408163,NaN,NaN,NaN,0.010675343,NaN,NaN,NaN,NaN
1914,7.35,0.42,0.52,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.038019469,0.009636084,NaN,NaN,NaN,0.011600559,NaN,NaN,NaN,NaN
1915,9.48,0.43,0.88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.026174139,0.019514295,NaN,NaN,NaN,0.019104943,NaN,NaN,NaN,NaN
1916,9.8,0.56,1.53,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.025953173,0.115354583,NaN,NaN,NaN,0.017832474,NaN,NaN,NaN,NaN
1917,6.8,0.69,1.28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.037558754,0.182506984,NaN,NaN,NaN,0.035561568,NaN,NaN,NaN,NaN
1918,7.9,0.57,0.99,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.047530761,0.202771442,NaN,NaN,NaN,0.015361258,NaN,NaN,NaN,NaN
1919,8.92,0.53,0.93,NaN,NaN,0.0573,0.0777,0.049,NaN,NaN,0.043597755,0.145753222,NaN,NaN,NaN,0.024540792,NaN,NaN,NaN,NaN
1920,6.81,0.51,0.8,NaN,0.0588,0.0626,0.0856,0.054,NaN,NaN,0.054110052,0.021238322,NaN,NaN,NaN,0.0334078,NaN,NaN,NaN,NaN
1921,7.31,0.46,0.29,0.596534654,0.039,0.055,0.0761,0.0447,NaN,NaN,0.048185266,-0.107869955,NaN,NaN,NaN,0.01901912,NaN,NaN,NaN,NaN
1922,8.78,0.51,0.69,0.472649486,0.0365,0.0508,0.0702,0.0432,NaN,NaN,0.034666268,-0.025483902,NaN,NaN,NaN,0.014713101,NaN,NaN,NaN,NaN
1923,8.55,0.53,0.98,0.540201005,0.0388,0.0509,0.0738,0.0435,NaN,NaN,0.039243977,0.025618854,NaN,NaN,NaN,0.015696907,NaN,NaN,NaN,NaN
1924,10.16,0.55,0.93,0.45888308,0.0257,0.0495,0.0646,0.0396,NaN,NaN,0.027051102,-0.001993174,NaN,NaN,NaN,0.010721562,NaN,NaN,NaN,NaN
1925,12.46,0.6,1.25,0.389378271,0.0351,0.0485,0.0615,0.038,NaN,NaN,0.03021974,0.038328326,NaN,NaN,NaN,0.013528506,NaN,NaN,NaN,NaN
