yyyyq,Index,D3,D12,E3,E12,bm,tbl,AAA,BAA,lty,cay,ntis,Rfree,infl,ltr,corpr,svar,csp,ik,CRSP_SPvw,CRSP_SPvwx
18711,4.61,NaN,0.26,NaN,0.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.013712198,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18712,4.82,NaN,0.26,NaN,0.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.011691162,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18713,4.84,NaN,0.26,NaN,0.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.011500041,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18714,4.74,NaN,0.26,NaN,0.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.020433321,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18721,5.04,NaN,0.27,NaN,0.408,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.016935178,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18722,5.13,NaN,0.28,NaN,0.415,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.01501127,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18723,4.95,NaN,0.29,NaN,0.423,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.016588667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18724,5.07,NaN,0.3,NaN,0.43,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.023363549,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18731,5.11,NaN,0.308,NaN,0.438,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.020088805,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18732,4.98,NaN,0.315,NaN,0.445,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.018304201,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18733,4.59,NaN,0.323,NaN,0.453,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.019345624,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18734,4.42,NaN,0.33,NaN,0.46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.02888041,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18741,4.73,NaN,0.33,NaN,0.46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.013337336,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18742,4.46,NaN,0.33,NaN,0.46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.011787074,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18743,4.54,NaN,0.33,NaN,0.46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.011662092,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18744,4.54,NaN,0.33,NaN,0.46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.011757728,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18751,4.59,NaN,0.323,NaN,0.435,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.010956359,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18752,4.38,NaN,0.315,NaN,0.41,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.009639932,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18753,4.37,NaN,0.308,NaN,0.385,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.010073682,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18754,4.37,NaN,0.3,NaN,0.36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.013139299,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18761,4.51,NaN,0.3,NaN,0.34,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.011559069,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18762,4.15,NaN,0.3,NaN,0.32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.010191618,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18763,3.69,NaN,0.3,NaN,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.007881359,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18764,3.58,NaN,0.3,NaN,0.28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.011434285,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18771,3.17,NaN,0.273,NaN,0.285,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.009595729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18772,2.73,NaN,0.245,NaN,0.29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.008087611,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
