yyyyq,Index,D12,E12,b/m,tbl,AAA,BAA,lty,cay,ntis,Rfree,infl,ltr,corpr,svar,csp,ik,CRSP_SPvw,CRSP_SPvwx,D3,E3
18711,4.61,0.260,0.400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0137748388,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18712,4.82,0.260,0.400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0117363489,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18713,4.84,0.260,0.400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0115437483,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18714,4.74,0.260,0.400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0205727198,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18721,5.04,0.270,0.408,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0170307980,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18722,5.13,0.280,0.415,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0150855466,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18723,4.95,0.290,0.423,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0166787793,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18724,5.07,0.300,0.430,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0235458567,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18731,5.11,0.308,0.438,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0202235116,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18732,4.98,0.315,0.445,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0184131081,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18733,4.59,0.323,0.453,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0194603960,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18734,4.42,0.330,0.460,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0291529380,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18741,4.73,0.330,0.460,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0133963769,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18742,4.46,0.330,0.460,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0118333710,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18743,4.54,0.330,0.460,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0117073863,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18744,4.54,0.330,0.460,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0118038500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18751,4.59,0.323,0.435,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0109963373,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18752,4.38,0.315,0.410,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0096707999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18753,4.37,0.308,0.385,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0101072031,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18754,4.37,0.300,0.360,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0131969170,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18761,4.51,0.300,0.340,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0116034518,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18762,4.15,0.300,0.320,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0102262029,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18763,3.69,0.300,0.300,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0079018792,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18764,3.58,0.300,0.280,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0114778946,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
